OTU_ID,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
MOTU2004,67474,Naviculaceae,family,1,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,,
MOTU2005,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2006,194286,Stichotrichia,subclass,0.8859,,,Spirotrichea,,,,
MOTU2007,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2008,131567,cellular organisms,no rank,1,,,,,,,
MOTU2009,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2010,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2011,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2012,33103,Ulvophyceae,class,1,Viridiplantae,Chlorophyta,Ulvophyceae,,,,
MOTU2013,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2014,2864,Dinophyceae,class,0.9969,,,Dinophyceae,,,,
MOTU2015,3027,Cryptophyta,class,0.9613,,,Cryptophyta,,,,
MOTU2016,136419,Cercozoa,no rank,1,,,,,,,
MOTU2017,406428,Filifera,suborder,1,Metazoa,Cnidaria,Hydrozoa,Anthoathecata,,,
MOTU2018,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2019,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2020,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2021,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2022,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2023,2836,Bacillariophyta,phylum,1,,Bacillariophyta,,,,,
MOTU2024,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2025,5988,Litostomatea,class,1,,,Litostomatea,,,,
MOTU2026,2759,Eukaryota,superkingdom,0.9982,,,,,,,
MOTU2027,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2028,1779146,Heteroscleromorpha,subclass,1,Metazoa,Porifera,Demospongiae,,,,
MOTU2029,173455,Peyssonneliaceae,family,0.9999,,,Florideophyceae,Gigartinales,Peyssonneliaceae,,
MOTU2030,6020,Oligohymenophorea,class,1,,,Oligohymenophorea,,,,
MOTU2031,131567,cellular organisms,no rank,1,,,,,,,
MOTU2032,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2033,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2034,136419,Cercozoa,no rank,1,,,,,,,
MOTU2035,33849,Bacillariophyceae,class,0.9998,,Bacillariophyta,Bacillariophyceae,,,,
MOTU2036,136419,Cercozoa,no rank,1,,,,,,,
MOTU2037,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2038,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2039,3027,Cryptophyta,class,1,,,Cryptophyta,,,,
MOTU2040,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2041,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2042,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2043,33850,Bacillariophycidae,no rank,0.8992,,Bacillariophyta,Bacillariophyceae,,,,
MOTU2044,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2045,569578,PX clade,no rank,0.9999,,,,,,,
MOTU2046,2759,Eukaryota,superkingdom,0.9968,,,,,,,
MOTU2047,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2048,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2049,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2050,10197,Ctenophora,phylum,1,Metazoa,Ctenophora,,,,,
MOTU2051,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2052,3041,Chlorophyta,phylum,1,Viridiplantae,Chlorophyta,,,,,
MOTU2053,2759,Eukaryota,superkingdom,0.9997,,,,,,,
MOTU2054,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2055,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2056,158377,Lecudinidae,family,1,,Apicomplexa,Conoidasida,Eugregarinorida,Lecudinidae,,
MOTU2057,2836,Bacillariophyta,phylum,0.9978,,Bacillariophyta,,,,,
MOTU2058,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2059,2836,Bacillariophyta,phylum,1,,Bacillariophyta,,,,,
MOTU2060,6102,Hexacorallia,subclass,0.9987,Metazoa,Cnidaria,Anthozoa,,,,
MOTU2061,2864,Dinophyceae,class,1,,,Dinophyceae,,,,
MOTU2062,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2063,500008,Leptothecata,order,1,Metazoa,Cnidaria,Hydrozoa,Leptothecata,,,
MOTU2064,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2065,104719,Lumbrineridae,family,1,Metazoa,Annelida,Polychaeta,Eunicida,Lumbrineridae,,
MOTU2066,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2067,46599,Spionidae,family,1,Metazoa,Annelida,Polychaeta,Spionida,Spionidae,,
MOTU2068,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2069,33213,Bilateria,no rank,1,Metazoa,,,,,,
MOTU2070,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2071,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2072,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2073,33850,Bacillariophycidae,no rank,1,,Bacillariophyta,Bacillariophyceae,,,,
MOTU2074,2759,Eukaryota,superkingdom,0.9995,,,,,,,
MOTU2075,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2076,60004,Strombidiidae,family,0.9996,,,Spirotrichea,,Strombidiidae,,
MOTU2077,33674,Thraustochytriaceae,family,1,,,Labyrinthulomycetes,,Thraustochytriaceae,,
MOTU2078,31396,Corallinaceae,family,1,,,Florideophyceae,Corallinales,Corallinaceae,,
MOTU2079,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2080,33850,Bacillariophycidae,no rank,0.9992,,Bacillariophyta,Bacillariophyceae,,,,
MOTU2081,35078,Ptychoderidae,family,1,Metazoa,Hemichordata,Enteropneusta,,Ptychoderidae,,
MOTU2082,7674,Echinacea,superorder,0.9999,Metazoa,Echinodermata,Echinoidea,,,,
MOTU2083,2836,Bacillariophyta,phylum,1,,Bacillariophyta,,,,,
MOTU2084,1,root,no rank,1,,,,,,,
MOTU2085,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2086,2759,Eukaryota,superkingdom,0.947,,,,,,,
MOTU2087,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2088,6563,Ostreidae,family,0.9996,Metazoa,Mollusca,Bivalvia,Ostreoida,Ostreidae,,
